,n_inputs,n_hidden_units,epoch,trn_loss,val_loss,trn_perplexity,val_perplexity
23,64.0,32.0,3.0,5.377431345637675,5.551028730549338,259.5985529200926,260.69663442837054
24,64.0,32.0,4.0,5.333121382945762,5.541898170074859,251.2441907723029,259.1832372179332
25,64.0,64.0,0.0,5.642154909212117,5.633190574068012,315.5421860485001,282.53384329475017
26,64.0,64.0,1.0,5.471298673321283,5.561525251958277,276.02863447483753,264.2831858023382
27,64.0,64.0,2.0,5.382784238980409,5.551154811660965,258.74244394070826,262.2233274330292
28,64.0,64.0,3.0,5.281753675812741,5.5283788416808815,237.76675342936582,254.2148929638145
29,64.0,64.0,4.0,5.22531301079144,5.5388769855746975,227.38967644192616,254.4903391177325
30,64.0,128.0,0.0,5.58367550313337,5.592321864454261,298.2786095859542,271.68882619025766
31,64.0,128.0,1.0,5.379339033704684,5.5172777155261015,252.4013289645094,249.8353948894255
32,64.0,128.0,2.0,5.253693285509774,5.502147707588229,228.82388753021112,243.454297620504
33,64.0,128.0,3.0,5.178323462557955,5.525017781691118,215.0437179949576,244.32859776371524
34,64.0,128.0,4.0,5.1067931965434745,5.546248937582041,204.77620520179835,247.51993256670866
35,64.0,256.0,0.0,5.576750234047753,5.579593584134981,291.40764207856546,267.3154268884219
36,64.0,256.0,1.0,5.351099521315451,5.505759984383851,240.6269112241089,243.9761576975202
37,64.0,256.0,2.0,5.2169140600669355,5.482659699080826,215.21041987096402,235.94003647799414
38,64.0,256.0,3.0,5.105087705788145,5.473368077051072,195.73828324304867,231.9798770587495
39,64.0,256.0,4.0,5.029075051983288,5.502286256649794,183.103099393453,233.76083434027572
40,128.0,32.0,0.0,5.700843488436897,5.675498935567352,331.61427250515237,293.8911000327928
41,128.0,32.0,1.0,5.516938954225163,5.604118629967496,291.70788488290293,276.66756316307857
42,128.0,32.0,2.0,5.430881845978235,5.591477055570264,273.93817224521763,272.89273842011454
43,128.0,32.0,3.0,5.375222966991416,5.597532617065298,263.1989199365909,272.71905719928793
44,128.0,32.0,4.0,5.336846120699663,5.608824422349145,255.96067981155807,274.76466480218755
45,128.0,64.0,0.0,5.636179653767301,5.644111292702811,317.2048177813525,287.7958572440076
46,128.0,64.0,1.0,5.456182264467035,5.589068926774062,277.17770838217575,271.92821325550574
47,128.0,64.0,2.0,5.350030325105359,5.575235531959699,255.9462029533456,266.43916638598375
48,128.0,64.0,3.0,5.270141156116217,5.580943998320278,241.75949714658117,266.06530210681274
49,128.0,64.0,4.0,5.215578251493276,5.598474940180262,231.40837221278434,267.8929503236549
50,128.0,128.0,0.0,5.609143185235373,5.62027510316857,307.0563377775792,281.84047268068014
