,epoch,trn_loss,val_loss,trn_perplexity,val_perplexity
0,0.0,5.748914357469945,5.694891789258817,349.48508211735236,305.08453344953216
1,1.0,5.480513096941903,5.540160767443768,275.88697881898827,259.2271712314224
2,2.0,5.3079286152789695,5.464365498844163,237.5085174878415,237.78044170634035
3,3.0,5.190150374323469,5.421206208018513,213.76332336737673,224.69758158076033
4,4.0,5.0840985189537795,5.382454106301973,196.46697895996766,216.0701636949194
5,5.0,4.990671218554903,5.354023060241303,181.25122745918796,208.42516232462208
6,6.0,4.906104256514808,5.32615818089737,168.05216631513838,200.97527181557717
7,7.0,4.853300429802549,5.318728742145357,160.1040807245275,197.43180188648134
8,8.0,4.800032355845111,5.308333615720014,152.64220100508254,194.44954473915217
9,9.0,4.7679183250679245,5.314644386241962,147.9091464156793,193.58333050303023
10,10.0,4.722488669002246,5.304225300297593,142.5043993791842,190.90088166482974
11,11.0,4.679787268997053,5.296344674510873,137.71193122640014,189.13107584485113
12,12.0,4.6513311267713755,5.296343074732529,134.14249609680448,188.36985805279963
13,13.0,4.619961969455988,5.2963081706653945,130.62633746340467,187.53672666315813
14,14.0,4.586064648248069,5.290501125963219,127.27065200283396,186.462661362863
15,15.0,4.562941328322426,5.292147105906433,124.84779475749234,185.9539731290844
16,16.0,4.546711355841513,5.296857534548937,122.41295489089354,185.69754630618192
17,17.0,4.526385940180281,5.299748633331035,120.40940646980386,185.95591638101206
18,18.0,4.508355299541239,5.30705265771775,118.94539023431106,186.852763729312
19,19.0,4.484870193433653,5.308410570218966,116.87653434501038,187.1010402326113
